Clone,GLUEM.R,GLUET.M,GLUER.rmse,GLUET.rmse,GLUET.Cor,GLUER.Cor,GLUER.d,GLUET.d
IITA-TMS-IBA000070,-19.636,-4.652,21.671,5.853,-0.139,-0.024,0.230765602483929,0.38599723694686
IITA-TMS-IBA30572,-19.518,-5.193,21.026,6.957,-0.247,-0.031,0.194841313912011,0.366088469216048
IITA-TMS-IBA980581,-22.624,-2.784,24.231,5.373,-0.153,0.107,0.158400190703299,0.361221489458348
IITA-TMS-IBA982101,-21.143,-2.645,22.134,4.811,0.161,0.403,0.189017102698512,0.407146313346966
TMEB419,-12.961,-4.132,15.147,5.592,0.107,-0.365,0.176324893373555,0.456429601467
TMS13F1021P0008,-21.614,-3.061,23.478,5.087,-0.049,0.159,0.267870517861128,0.423488861665264
TMS13F1049P0001,-13.013,-4.129,14.389,5.552,-0.15,0.147,0.277170626726083,0.384601242016078
TMS13F1114P0001,-21.051,-4.685,23.113,6.062,-0.056,-0.119,0.207333188126606,0.429910999252378
TMS13F1126P0003,-15.563,-11.093,16.986,11.819,0.331,0.042,0.248514217970182,0.380944133415558
TMS13F1182P0002,-23.092,-0.384,25.143,4.504,0.119,-0.199,0.188620344247292,0.286898229513247
TMS13F1304P0003,-11.52,-0.417,14.623,4.157,0.146,-0.217,0.336802251984272,0.322955522512794
TMS13F1315P0008,-16.385,-4.835,17.967,7.636,-0.356,0.094,0.251779031224086,0.345386517272008
TMS13F1376P0018,-14.258,-0.882,17.396,4.316,0.088,-0.251,0.306361786050357,0.324046781291171
TMS13F1400P0001,-24.625,-3.937,26.126,6.375,-0.422,0.279,0.122217353231442,0.331229165839852
TMS13F1461P0002,-23.544,-2.602,25.292,5.498,-0.18,0.005,0.192668266128658,0.37538796714818
TMS13F2061P0005,-19.225,-4.241,21.094,6.353,-0.221,-0.149,0.221794172775719,0.414082121610557
TMS13F2207P0001,-22.57,-2.364,24.537,4.359,-0.277,0.06,0.226051135526106,0.330977955946626
TMS14F1001P0004,-19.851,-4.005,21.39,5.692,0.002,0.204,0.280717521100088,0.430137445331647
TMS14F1013P0007,-18.19,-1.545,20.188,4.98,-0.015,-0.143,0.235907372371773,0.332056657391923
TMS14F1014P0016,-16.836,-2.397,18.971,5.769,-0.264,-0.458,0.134750405867931,0.35218222784271
TMS14F1014P0017,-20.093,-5.354,21.456,7.517,0.103,-0.092,0.184305046956253,0.426227031565965
TMS14F1016P0006,-22.783,-4.247,24.98,6.02,-0.366,-0.038,0.236509051216321,0.378762331539061
TMS14F1019P0015,-18.935,-4.242,20.872,5.783,-0.313,-0.143,0.215851034194261,0.379777390324853
TMS14F1022P0003,-6.172,-3.4,8.986,5.489,-0.211,0.048,0.436524217362969,0.41362605864624
TMS14F1022P0006,-23.428,-5.02,25.64,6.621,-0.107,-0.073,0.237655022179026,0.41962372946038
TMS14F1035P0004,-13.052,-10.032,15.533,10.958,-0.617,-0.111,0.296346505684906,0.245092148129354
TMS14F1035P0007,-22.939,-3.968,25.001,5.31,-0.081,-0.124,0.221220679948351,0.40910144385893
TMS14F1036P0007,-18.957,-1.977,21.087,4.936,0.038,0.14,0.3078994767685,0.40652278342146
TMS14F1049P0001,-25.897,-4.33,27.558,6.056,-0.094,0.005,0.185259338610058,0.406466519707433
TMS14F1098P0013,-22.373,-4.66,24.344,5.809,-0.013,-0.043,0.168900367238051,0.41461647837797
TMS14F1120P0003,-20.209,-4.402,21.665,6.649,0.081,-0.072,0.172349202255757,0.424833459684856
TMS14F1125P0010,-17.294,-5.144,19.476,7.093,-0.327,-0.132,0.255093240336787,0.385216153190164
TMS14F1131P0001,-17.701,-6.65,19.581,8.334,-0.118,0.179,0.295009368214674,0.420709311469621
TMS14F1146P0002,-20.577,-1.59,21.841,4.265,-0.027,0.297,0.259030304540652,0.342426347722802
TMS14F1159P0003,-17.833,-3.877,19.64,5.661,-0.287,-0.18,0.203031539755585,0.420410729101476
TMS14F1194P0002,-17.99,-1.068,19.242,3.678,-0.158,0.067,0.187277899809109,0.321790157080748
TMS14F1195P0004,-10.88,-3.146,12.413,10.197,0.215,0.074,0.298046554500293,0.317732900686343
TMS14F1195P0005,-12.336,-9.511,13.743,10.749,-0.194,0.332,0.37033679746026,0.342536992220441
TMS14F1196P0003,-20.395,-3.417,22.962,6.205,-0.266,-0.491,0.179056337696109,0.376685770766339
TMS14F1208P0007,-19.242,-7.541,21.101,8.833,-0.233,0.06,0.232294098222036,0.396312260697504
TMS14F1223P0007,-16.758,-6.851,18.617,7.968,-0.501,-0.037,0.254664280707354,0.325888170569196
TMS14F1224P0004,-12.155,-11.978,14.471,13.642,-0.624,0.009,0.343426974055895,0.266265985266596
TMS14F1262P0002,-14.59,-6.519,16.883,8.017,-0.317,-0.054,0.233027766363427,0.3775626223118
TMS14F1278P0003,-8.213,-7.863,10.86,9.015,-0.072,-0.093,0.339027528284361,0.397760228250981
TMS14F1285P0006,-18.09,-3.157,18.989,4.751,0.264,0.282,0.250336106071045,0.475532932292735
TMS14F1285P0017,-18.22,-2.875,19.993,4.501,-0.444,-0.014,0.261369251118255,0.356747278719406
TMS14F1287P0008,-21.433,-1.036,24.187,3.982,-0.076,-0.297,0.206701234871556,0.34905715250738
TMS14F1288P0008,-12.908,-2.404,13.634,3.53,-0.249,0.017,0.233984986276297,0.406943970657305
TMS14F1291P0003,-20.206,-3.04,22.701,4.546,-0.007,-0.221,0.264800050225654,0.451749522934684
TMS14F1291P0011,-20.799,-3.972,22.682,5.621,-0.479,-0.262,0.224120449300932,0.393574385123487
TMS14F1291P0012,-20.076,-5.792,22.273,7.392,-0.317,-0.17,0.220215165925757,0.383129269823796
TMS14F1292P0012,-11.521,-3.626,13.008,5.883,-0.171,0.03,0.171907962705942,0.38224052189555
TMS14F1295P0012,-7.578,-2.841,9.536,4.605,-0.032,0.136,0.399010418491873,0.463366719896047
TMS14F1297P0019,-22.227,-0.612,24.493,5.096,-0.334,-0.312,0.161639363562195,0.210281470148295
TMS14F1299P0007,-23.929,-2.646,25.855,5.495,-0.1,0.088,0.213827503484085,0.366159291231744
TMS14F1300P0002,-20.81,-1.957,22.225,4.18,0.068,0.183,0.23777153417314,0.431371557537196
TMS14F1300P0008,-19.517,-3.565,21.209,5.73,-0.056,0.151,0.248469787120105,0.437173701163161
TMS14F1301P0004,-21.481,-0.406,23.284,4.833,0.122,0.174,0.254565576823793,0.264922669503723
TMS14F1301P0013,-20.683,-3.739,22.814,5.178,-0.183,0.043,0.225385540886495,0.357582166586558
TMS14F1303P0012,-22.204,-0.43,24.293,5.199,-0.179,-0.238,0.191197119044722,0.198994663781502
TMS14F1306P0008,-24.357,-3.879,26.47,4.992,-0.131,-0.023,0.188282230656425,0.352326003252182
TMS14F1306P0015,-16.85,-2.507,18.418,4.312,-0.087,0.217,0.320533387625189,0.394061428021227
TMS14F1306P0020,-10.792,0.654,13.003,4.09,-0.252,-0.027,0.326310370514726,0.157295773131527
TMS14F1310P0004,-21.224,-6.536,22.993,7.873,0.013,0.087,0.260527536624611,0.389127975835291
TMS14F1310P0015,-10.249,-5.673,12.449,8.142,0.094,-0.128,0.328882268697558,0.416172453504365
TMS14F1311P0002,-20.855,-5.351,22.614,6.555,-0.095,0.037,0.231882370066768,0.418923479152689
TMS14F1312P0003,-21.146,-0.595,23.017,5.085,-0.17,-0.121,0.205778280201834,0.238737528000914
