R.Cor,GLUER.Cor,R.rmse,GLUER.rmse,R.d,GLUER.d,T.Cor,GLUET.Cor,T.rmse,GLUET.rmse,T.d,GLUET.d,Clone,M.R,T.M,GLUEM.R,GLUET.M
-0.01,0.09,21.48,5.35,0.23,0.49,-0.14,-0.16,5.96,3.51,0.38,0.29,IITA-TMS-IBA000070,-19.53,-4.74,-1.182,-0.346
-0.03,0.35,20.96,3.27,0.2,0.6,-0.26,-0.34,7.12,7.05,0.36,0.3,IITA-TMS-IBA30572,-19.48,-5.321,0.679,-4.577
0.12,0.15,24.06,3.91,0.16,0.5,-0.16,-0.12,5.46,4.83,0.35,0.33,IITA-TMS-IBA980581,-22.528,-2.861,1.382,-1.272
0.4,0.46,22.14,3.38,0.19,0.65,0.13,0.11,4.91,4.42,0.4,0.42,IITA-TMS-IBA982101,-21.145,-2.734,-1.568,-1.49
-0.37,-0.23,15.18,4.98,0.18,0.39,0.08,-0.01,5.73,5.37,0.44,0.44,TMEB419,-12.978,-4.226,3.356,-2.903
0.16,0.35,23.38,5.02,0.27,0.51,-0.09,-0.09,5.24,4.49,0.41,0.38,TMS13F1021P0008,-21.554,-3.157,0.634,-1.198
0.12,0.2,14.59,3.65,0.27,0.51,-0.17,-0.15,5.71,5.31,0.37,0.37,TMS13F1049P0001,-13.127,-4.278,0.151,-3.621
-0.1,-0.01,22.88,5.23,0.21,0.33,-0.1,-0.18,6.2,4.39,0.42,0.35,TMS13F1114P0001,-20.925,-4.788,1.348,-1.546
0.08,0.08,16.62,3.82,0.26,0.35,0.34,0.43,12.02,6.37,0.38,0.52,TMS13F1126P0003,-15.36,-11.313,0.263,-5.105
-0.2,-0.11,25.22,5.34,0.19,0.34,0.1,0.12,4.56,4.61,0.28,0.21,TMS13F1182P0002,-23.14,-0.473,0.392,1.059
-0.25,-0.25,14.94,7.23,0.33,0.25,0.11,0.14,4.2,4.14,0.32,0.25,TMS13F1304P0003,-11.69,-0.52,0.525,-0.016
0.09,0.32,17.98,3.55,0.25,0.59,-0.41,-0.45,7.86,6.25,0.33,0.2,TMS13F1315P0008,-16.393,-5.011,0.426,-1.503
-0.28,-0.27,17.69,11.13,0.3,0.36,0.14,0.18,4.3,4.15,0.35,0.19,TMS13F1376P0018,-14.411,-0.979,-6.919,0.168
0.3,0.4,25.88,2.84,0.12,0.62,-0.47,-0.42,6.58,5.84,0.32,0.27,TMS13F1400P0001,-24.476,-4.06,-0.163,-2.772
0.03,0.07,25.06,4.87,0.2,0.39,-0.21,-0.3,5.63,5.18,0.36,0.29,TMS13F1461P0002,-23.415,-2.705,1.236,-1.301
-0.15,0.08,21.06,4.53,0.22,0.46,-0.28,-0.25,6.52,5.3,0.4,0.36,TMS13F2061P0005,-19.207,-4.362,-0.633,-2.022
0.06,0.22,24.5,5.01,0.23,0.44,-0.31,-0.37,4.49,4.04,0.32,0.27,TMS13F2207P0001,-22.551,-2.452,1.876,-0.927
0.2,0.38,21.38,4.38,0.28,0.58,-0.02,-0.03,5.8,4.12,0.42,0.35,TMS14F1001P0004,-19.845,-4.11,0.618,-0.759
-0.16,-0.09,20.39,5.3,0.23,0.37,-0.02,0.05,5.04,4.73,0.33,0.3,TMS14F1013P0007,-18.318,-1.661,-0.36,-0.634
-0.46,-0.37,19.11,4.56,0.13,0.24,-0.35,-0.29,5.96,5.47,0.34,0.26,TMS14F1014P0016,-16.924,-2.544,0.333,-0.882
-0.09,0.01,21.41,3.4,0.18,0.38,0.06,0.11,7.72,5.77,0.41,0.41,TMS14F1014P0017,-20.065,-5.535,0.485,-2.347
-0.03,0.08,24.88,5.96,0.24,0.45,-0.41,-0.39,6.18,4.35,0.37,0.28,TMS14F1016P0006,-22.727,-4.347,0.218,-1.234
-0.15,-0.02,20.97,5.03,0.21,0.35,-0.33,-0.32,5.93,4.09,0.37,0.29,TMS14F1019P0015,-18.997,-4.375,0.71,-1.36
0.01,0.09,9.28,5.38,0.42,0.46,-0.23,-0.25,5.62,5.22,0.4,0.37,TMS14F1022P0003,-6.314,-3.554,-0.35,-2.745
-0.06,0,25.51,5.87,0.24,0.39,-0.15,-0.2,6.77,4.48,0.41,0.32,TMS14F1022P0006,-23.356,-5.116,0.031,-1.075
-0.06,0.12,14.96,5.56,0.31,0.49,-0.63,-0.62,11.12,6.72,0.24,0.28,TMS14F1035P0004,-12.77,-10.151,1.783,-5.228
-0.13,-0.08,25.05,5.88,0.22,0.36,-0.11,-0.19,5.42,3.85,0.4,0.35,TMS14F1035P0007,-22.97,-4.052,0.714,-1.717
0.15,0.26,21,5.94,0.31,0.54,0,-0.04,5.05,4.94,0.4,0.39,TMS14F1036P0007,-18.91,-2.066,0.937,-1.84
0.01,0.14,27.43,4.22,0.19,0.48,-0.11,-0.15,6.18,4.76,0.4,0.36,TMS14F1049P0001,-25.818,-4.425,0.09,-1.896
-0.04,-0.04,24.08,4.57,0.17,0.37,-0.02,-0.08,5.94,4.19,0.4,0.41,TMS14F1098P0013,-22.215,-4.78,1.512,-2.295
-0.05,0.21,21.37,3.61,0.18,0.49,0.02,-0.05,6.81,5.39,0.41,0.33,TMS14F1120P0003,-20.029,-4.53,1.597,-0.849
-0.11,0.04,19.22,5.11,0.26,0.44,-0.32,-0.35,7.24,5.6,0.38,0.3,TMS14F1125P0010,-17.156,-5.291,0.685,-2.518
0.19,0.24,19.42,5.06,0.3,0.48,-0.16,-0.2,8.5,6.12,0.41,0.39,TMS14F1131P0001,-17.606,-6.783,0.474,-3.291
0.27,0.3,22.08,5.52,0.25,0.57,-0.08,0.03,4.38,4.74,0.33,0.45,TMS14F1146P0002,-20.721,-1.688,-3.412,2.796
-0.18,-0.1,19.67,4.48,0.2,0.31,-0.33,-0.19,5.82,4.28,0.41,0.34,TMS14F1159P0003,-17.851,-4.01,0.204,-1.353
0.04,0.07,19.45,6.11,0.18,0.39,-0.23,-0.21,3.79,3.87,0.31,0.37,TMS14F1194P0002,-18.115,-1.154,-4.271,1.745
0.04,0.11,12.61,4.03,0.29,0.32,0.17,0.15,10.31,9.82,0.31,0.21,TMS14F1195P0004,-10.984,-3.309,1.31,-0.823
0.41,0.53,13.12,3.98,0.39,0.73,-0.22,-0.25,10.92,8.12,0.34,0.37,TMS14F1195P0005,-11.991,-9.637,0.995,-6.237
-0.5,-0.42,23.13,5.68,0.18,0.19,-0.26,-0.23,6.34,5.52,0.37,0.32,TMS14F1196P0003,-20.495,-3.561,-0.359,-1.815
0.1,0.11,20.54,4.7,0.24,0.39,-0.25,-0.3,8.96,6.79,0.39,0.39,TMS14F1208P0007,-18.922,-7.636,1.043,-4.66
-0.04,0.05,18.59,5.02,0.26,0.43,-0.53,-0.46,8.12,4.18,0.32,0.29,TMS14F1223P0007,-16.742,-6.974,-0.002,-1.907
0.06,0.21,13.77,5.74,0.37,0.5,-0.65,-0.62,13.93,7.78,0.26,0.26,TMS14F1224P0004,-11.753,-12.223,3.115,-5.032
-0.04,0.12,16.61,5.77,0.24,0.51,-0.37,-0.43,8.21,6.5,0.37,0.32,TMS14F1262P0002,-14.445,-6.66,2.727,-3.975
-0.09,0.02,10.86,4.65,0.34,0.44,-0.1,-0.06,9.24,4.04,0.39,0.3,TMS14F1278P0003,-8.211,-8.063,0.122,-0.296
0.24,0.23,19.25,3.78,0.25,0.4,0.23,0.26,4.87,3.67,0.46,0.25,TMS14F1285P0006,-18.25,-3.296,1.223,0.87
-0.03,0.02,20.15,5.36,0.26,0.45,-0.46,-0.35,4.6,4.06,0.35,0.43,TMS14F1285P0017,-18.313,-2.956,-1.315,2.554
-0.3,-0.3,24.3,7.2,0.21,0.31,-0.08,-0.19,4.05,4.1,0.34,0.34,TMS14F1287P0008,-21.499,-1.128,-1.281,1.682
-0.04,0.02,13.91,3.12,0.23,0.32,-0.37,-0.44,3.66,2.66,0.39,0.11,TMS14F1288P0008,-13.095,-2.517,-0.481,0.433
-0.23,-0.18,22.91,8.64,0.26,0.41,0.01,0.08,4.62,3.36,0.45,0.32,TMS14F1291P0003,-20.335,-3.138,-4.782,0.9
-0.27,-0.29,22.81,5.97,0.22,0.36,-0.49,-0.42,5.73,3.94,0.38,0.29,TMS14F1291P0011,-20.881,-4.055,-1.971,1.358
-0.15,-0.03,21.89,5.06,0.23,0.38,-0.28,-0.37,7.53,4.94,0.38,0.26,TMS14F1291P0012,-19.862,-5.932,0.489,-1.697
0.02,0.06,13.12,3.37,0.17,0.32,-0.17,-0.14,6.02,4.47,0.37,0.2,TMS14F1292P0012,-11.588,-3.805,1.02,0.127
0.1,0.13,9.83,4.78,0.38,0.48,-0.09,-0.09,4.76,4.12,0.45,0.42,TMS14F1295P0012,-7.729,-2.986,-0.791,-1.67
-0.32,-0.38,24.67,5.88,0.16,0.25,-0.34,-0.35,5.16,5.06,0.21,0.2,TMS14F1297P0019,-22.336,-0.705,0.461,1.234
0.09,0.2,25.78,4.48,0.21,0.52,-0.09,-0.13,5.57,4.91,0.36,0.3,TMS14F1299P0007,-23.883,-2.744,0.673,-1.22
0.16,0.2,22.44,5.01,0.23,0.54,0.01,0.05,4.3,4.56,0.42,0.38,TMS14F1300P0002,-20.943,-2.056,-2.528,2.745
0.18,0.42,20.92,4.22,0.25,0.66,-0.11,-0.21,5.9,5.59,0.42,0.38,TMS14F1300P0008,-19.357,-3.684,-0.18,-2.545
0.17,0.23,23.36,6.84,0.25,0.51,0.1,0.07,4.89,5.15,0.26,0.34,TMS14F1301P0004,-21.528,-0.5,-3.641,1.828
0.06,0.1,22.63,5.46,0.23,0.47,-0.19,-0.33,5.3,4.48,0.35,0.31,TMS14F1301P0013,-20.585,-3.846,2.183,-2.674
-0.24,-0.22,24.38,6.08,0.19,0.36,-0.21,-0.31,5.28,5.18,0.19,0.11,TMS14F1303P0012,-22.255,-0.518,-0.476,0.618
-0.01,0.04,26.34,4.78,0.19,0.44,-0.15,-0.23,5.15,3.42,0.34,0.32,TMS14F1306P0008,-24.282,-3.995,0.275,-1.364
0.21,0.25,18.55,5.03,0.32,0.55,-0.1,-0.11,4.41,3.38,0.38,0.14,TMS14F1306P0015,-16.927,-2.617,0.244,0.484
-0.05,-0.03,13.27,5.66,0.32,0.36,-0.27,-0.27,4.12,4.69,0.15,0.37,TMS14F1306P0020,-10.948,0.573,-0.774,2.514
0.12,0.34,22.68,4.47,0.27,0.57,-0.03,-0.12,8.03,5.08,0.38,0.35,TMS14F1310P0004,-21.046,-6.658,0.417,-2.297
-0.09,-0.22,12.31,7.67,0.33,0.39,0.09,0.06,8.5,5.28,0.4,0.46,TMS14F1310P0015,-10.127,-5.982,-3.22,3.624
0.06,0.16,22.28,4.73,0.24,0.47,-0.14,-0.22,6.73,4.36,0.41,0.36,TMS14F1311P0002,-20.656,-5.474,0.721,-1.759
-0.13,-0.1,23.15,5.34,0.2,0.29,-0.2,-0.22,5.16,5.3,0.23,0.28,TMS14F1312P0003,-21.23,-0.683,1.293,1.867
